,ones,Mkt-RF,SMB,HML,MOM
1996-01-01 00:02:00,1.0,1.33,1.93,-2.32,0.58
1996-01-01 00:03:00,1.0,1.03,1.715,-0.525,-0.65
1996-01-01 00:04:00,1.0,1.37333333333,2.70666666667,-1.70333333333,-0.736666666667
1996-01-01 00:05:00,1.0,1.62,2.8325,-1.625,-0.16
1996-01-01 00:06:00,1.0,1.068,1.532,-0.916,0.072
1996-01-01 00:07:00,1.0,-0.105,0.67,-0.0366666666667,0.0416666666667
1996-01-01 00:08:00,1.0,0.133333333333,0.77,0.253333333333,-0.0566666666667
1996-01-01 00:09:00,1.0,0.848333333333,0.311666666667,-0.583333333333,0.705
1996-01-01 00:10:00,1.0,0.648333333333,-1.10833333333,0.891666666667,1.51
1996-01-01 00:11:00,1.0,1.29666666667,-2.24666666667,1.14833333333,0.878333333333
1996-01-01 00:12:00,1.0,1.20333333333,-1.11666666667,0.996666666667,0.813333333333
1997-01-01 00:01:00,1.0,3.03,-0.77,-0.123333333333,1.15666666667
1997-01-01 00:02:00,1.0,2.48833333333,-1.60333333333,0.751666666667,0.818333333333
1997-01-01 00:03:00,1.0,0.813333333333,-1.48,2.01833333333,0.53
1997-01-01 00:04:00,1.0,1.34333333333,-1.765,1.04833333333,0.696666666667
1997-01-01 00:05:00,1.0,1.425,-0.38,0.295,0.206666666667
1997-01-01 00:06:00,1.0,2.39166666667,-0.678333333333,0.253333333333,0.541666666667
1997-01-01 00:07:00,1.0,2.78166666667,-0.87,0.625,0.851666666667
1997-01-01 00:08:00,1.0,2.17166666667,0.816666666667,0.0733333333333,0.766666666667
1997-01-01 00:09:00,1.0,3.90166666667,1.34,-0.605,0.846666666667
1997-01-01 00:10:00,1.0,2.595,2.16833333333,-0.0666666666667,-0.0383333333333
1997-01-01 00:11:00,1.0,1.96833333333,0.516666666667,0.825,0.871666666667
1997-01-01 00:12:00,1.0,1.505,-0.0483333333333,1.335,1.09666666667
1998-01-01 00:01:00,1.0,0.308333333333,0.183333333333,1.015,0.478333333333
