,ones,Mkt-RF,SMB,HML,MOM
2001-01-01 00:07:00,1.0,-1.69166666667,1.36416666667,3.73583333333,0.270833333333
2001-01-01 00:08:00,1.0,-2.81583333333,1.6575,4.11666666667,0.2575
2001-01-01 00:09:00,1.0,-3.1325,1.16916666667,3.7,1.04083333333
2001-01-01 00:10:00,1.0,-2.6975,1.84166666667,2.7125,0.728333333333
2001-01-01 00:11:00,1.0,-1.17583333333,1.9125,1.74583333333,0.2175
2001-01-01 00:12:00,1.0,-1.14083333333,2.07666666667,1.27583333333,-0.345833333333
2002-01-01 00:01:00,1.0,-1.52166666667,1.66833333333,2.03,2.05166666667
2002-01-01 00:02:00,1.0,-0.875,1.395,1.195,1.5775
2002-01-01 00:03:00,1.0,0.0833333333333,1.5625,0.77,0.7425
2002-01-01 00:04:00,1.0,-1.01166666667,2.165,1.48583333333,2.08416666667
2002-01-01 00:05:00,1.0,-1.18666666667,1.59,1.4625,2.15666666667
2002-01-01 00:06:00,1.0,-1.62583333333,1.31583333333,1.7775,2.64
2002-01-01 00:07:00,1.0,-2.13,1.02833333333,1.0125,2.46333333333
2002-01-01 00:08:00,1.0,-1.55,0.7225,0.93,2.1475
2002-01-01 00:09:00,1.0,-1.64166666667,1.4675,0.8875,1.9475
2002-01-01 00:10:00,1.0,-1.19333333333,0.689166666667,0.945833333333,2.19083333333
2002-01-01 00:11:00,1.0,-1.325,0.944166666667,0.755833333333,1.54833333333
2002-01-01 00:12:00,1.0,-1.93916666667,0.531666666667,1.04,2.3525
2003-01-01 00:01:00,1.0,-2.03333333333,0.4975,0.689166666667,2.17083333333
2003-01-01 00:02:00,1.0,-1.99916666667,0.5,0.244166666667,1.70916666667
2003-01-01 00:03:00,1.0,-2.26166666667,0.185833333333,0.0191666666667,1.9725
2003-01-01 00:04:00,1.0,-1.14333333333,-0.244166666667,-0.339166666667,0.5225
2003-01-01 00:05:00,1.0,-0.524166666667,0.4375,-0.544166666667,-0.6275
2003-01-01 00:06:00,1.0,0.195,0.286666666667,-0.61,-1.22416666667
2003-01-01 00:07:00,1.0,1.0725,1.22666666667,-0.478333333333,-1.53
2003-01-01 00:08:00,1.0,1.22583333333,1.54416666667,-0.5225,-1.72083333333
2003-01-01 00:09:00,1.0,1.985,1.32666666667,-0.554166666667,-2.49916666667
2003-01-01 00:10:00,1.0,1.83833333333,1.89833333333,0.124166666667,-1.73166666667
2003-01-01 00:11:00,1.0,1.45416666667,1.82833333333,0.3725,-0.239166666667
2003-01-01 00:12:00,1.0,2.29166666667,1.58333333333,0.280833333333,-1.515
2004-01-01 00:01:00,1.0,2.685,1.72083333333,0.4875,-1.43083333333
2004-01-01 00:02:00,1.0,2.95833333333,1.72083333333,0.645,-1.62666666667
2004-01-01 00:03:00,1.0,2.7575,1.85416666667,0.7725,-1.73666666667
2004-01-01 00:04:00,1.0,1.92,1.53833333333,0.640833333333,-1.39833333333
2004-01-01 00:05:00,1.0,1.51333333333,1.095,0.611666666667,-0.364166666667
2004-01-01 00:06:00,1.0,1.55,1.17333333333,0.688333333333,-0.106666666667
2004-01-01 00:07:00,1.0,1.01583333333,0.495,1.23833333333,-0.274166666667
2004-01-01 00:08:00,1.0,0.8275,0.175833333333,1.195,-0.354166666667
2004-01-01 00:09:00,1.0,1.06416666667,0.409166666667,1.15666666667,0.1
2004-01-01 00:10:00,1.0,0.676666666667,0.201666666667,0.9475,-0.336666666667
2004-01-01 00:11:00,1.0,0.9425,0.355833333333,0.993333333333,-0.204166666667
2004-01-01 00:12:00,1.0,0.870833333333,0.585833333333,0.730833333333,0.0341666666667
2005-01-01 00:01:00,1.0,0.461666666667,0.2775,0.82,0.0783333333333
2005-01-01 00:02:00,1.0,0.5025,0.316666666667,1.02,0.4375
2005-01-01 00:03:00,1.0,0.448333333333,0.0191666666667,1.16583333333,0.465833333333
2005-01-01 00:04:00,1.0,0.383333333333,-0.109166666667,1.2675,0.845
2005-01-01 00:05:00,1.0,0.59,0.151666666667,1.18833333333,0.74
2005-01-01 00:06:00,1.0,0.4825,0.204166666667,1.285,0.739166666667
2005-01-01 00:07:00,1.0,1.1475,0.690833333333,0.865833333333,0.934166666667
2005-01-01 00:08:00,1.0,1.03916666667,0.720833333333,0.885,1.24583333333
2005-01-01 00:09:00,1.0,0.946666666667,0.42,0.938333333333,1.09916666667
2005-01-01 00:10:00,1.0,0.659166666667,0.2875,0.950833333333,1.11416666667
2005-01-01 00:11:00,1.0,0.581666666667,0.00583333333333,0.635,0.875
2005-01-01 00:12:00,1.0,0.275,-0.0275,0.7075,1.1725
2006-01-01 00:01:00,1.0,0.758333333333,0.5475,0.5775,1.1425
2006-01-01 00:02:00,1.0,0.575833333333,0.545,0.27,0.723333333333
2006-01-01 00:03:00,1.0,0.861666666667,0.95,0.116666666667,0.781666666667
2006-01-01 00:04:00,1.0,1.14,1.21666666667,0.409166666667,0.904166666667
2006-01-01 00:05:00,1.0,0.538333333333,0.735,0.7425,0.563333333333
2006-01-01 00:06:00,1.0,0.461666666667,0.4375,0.634166666667,0.515833333333
2006-01-01 00:07:00,1.0,0.07,-0.095,0.958333333333,0.33
2006-01-01 00:08:00,1.0,0.340833333333,0.0141666666667,0.6875,-0.145833333333
2006-01-01 00:09:00,1.0,0.453333333333,-0.0691666666667,0.553333333333,-0.515
2006-01-01 00:10:00,1.0,0.890833333333,0.195,0.6525,-0.4275
2006-01-01 00:11:00,1.0,0.7325,0.19,0.850833333333,-0.5425
2006-01-01 00:12:00,1.0,0.825833333333,0.1575,1.02166666667,-0.534166666667
2007-01-01 00:01:00,1.0,0.689166666667,-0.313333333333,0.92,-0.744166666667
2007-01-01 00:02:00,1.0,0.550833333333,-0.163333333333,1.01,-0.703333333333
2007-01-01 00:03:00,1.0,0.485833333333,-0.455,1.0525,-0.600833333333
2007-01-01 00:04:00,1.0,0.715833333333,-0.555,0.715,-0.669166666667
2007-01-01 00:05:00,1.0,1.28333333333,-0.284166666667,0.468333333333,-0.383333333333
2007-01-01 00:06:00,1.0,1.14916666667,-0.189166666667,0.258333333333,-0.4825
2007-01-01 00:07:00,1.0,0.903333333333,-0.133333333333,-0.275833333333,-0.0675
2007-01-01 00:08:00,1.0,0.810833333333,-0.195,-0.320833333333,0.229166666667
2007-01-01 00:09:00,1.0,0.925833333333,-0.2875,-0.455,0.693333333333
2007-01-01 00:10:00,1.0,0.806666666667,-0.445,-0.674166666667,1.12083333333
2007-01-01 00:11:00,1.0,0.261666666667,-0.751666666667,-0.803333333333,1.28166666667
2007-01-01 00:12:00,1.0,0.116666666667,-0.680833333333,-1.01666666667,1.75666666667
2008-01-01 00:01:00,1.0,-0.53,-0.724166666667,-0.758333333333,1.08583333333
2008-01-01 00:02:00,1.0,-0.624166666667,-0.891666666667,-0.776666666667,1.70583333333
2008-01-01 00:03:00,1.0,-0.758333333333,-0.8325,-0.7875,1.84
2008-01-01 00:04:00,1.0,-0.665833333333,-0.7575,-0.7075,1.83666666667
2008-01-01 00:05:00,1.0,-0.780833333333,-0.52,-0.7275,2.1275
2008-01-01 00:06:00,1.0,-1.32083333333,-0.498333333333,-0.726666666667,3.14
2008-01-01 00:07:00,1.0,-1.07416666667,0.0916666666667,-0.174166666667,2.47416666667
2008-01-01 00:08:00,1.0,-1.02333333333,0.401666666667,0.153333333333,2.12916666667
2008-01-01 00:09:00,1.0,-2.06166666667,0.656666666667,0.6925,1.77
2008-01-01 00:10:00,1.0,-3.6475,0.399166666667,0.621666666667,2.0125
2008-01-01 00:11:00,1.0,-3.9,0.289166666667,0.288333333333,2.53916666667
2008-01-01 00:12:00,1.0,-3.6825,0.575,0.19,1.57333333333
2009-01-01 00:01:00,1.0,-3.82916666667,0.418333333333,-0.87,2.06416666667
2009-01-01 00:02:00,1.0,-4.41333333333,0.354166666667,-1.44583333333,1.9025
2009-01-01 00:03:00,1.0,-3.59,0.3775,-1.25416666667,0.601666666667
2009-01-01 00:04:00,1.0,-3.12416666667,1.03333333333,-0.816666666667,-2.26333333333
2009-01-01 00:05:00,1.0,-2.845,0.58,-0.734166666667,-3.55916666667
2009-01-01 00:06:00,1.0,-2.10583333333,0.685,-0.848333333333,-4.15416666667
2009-01-01 00:07:00,1.0,-1.39833333333,0.555833333333,-0.7575,-4.17166666667
2009-01-01 00:08:00,1.0,-1.24833333333,0.2875,-0.254166666667,-4.57583333333
2009-01-01 00:09:00,1.0,-0.138333333333,0.460833333333,-0.505,-5.02
2009-01-01 00:10:00,1.0,1.08166666667,0.321666666667,-0.620833333333,-5.44833333333
2009-01-01 00:11:00,1.0,2.2,0.441666666667,-0.183333333333,-6.02333333333
2009-01-01 00:12:00,1.0,2.28416666667,0.650833333333,-0.0241666666667,-5.3575
2010-01-01 00:01:00,1.0,2.68083333333,0.8675,0.8325,-5.64416666667
2010-01-01 00:02:00,1.0,3.80583333333,1.11166666667,1.63583333333,-5.69083333333
2010-01-01 00:03:00,1.0,3.58583333333,1.18833333333,1.59166666667,-4.42333333333
2010-01-01 00:04:00,1.0,2.90333333333,1.045,1.41666666667,-1.27416666667
2010-01-01 00:05:00,1.0,1.81166666667,1.23416666667,1.175,-0.2625
2010-01-01 00:06:00,1.0,1.3125,0.828333333333,1.01833333333,-0.953333333333
2010-01-01 00:07:00,1.0,1.24666666667,0.625833333333,0.6275,-0.340833333333
2010-01-01 00:08:00,1.0,0.571666666667,0.353333333333,-0.135833333333,0.388333333333
2010-01-01 00:09:00,1.0,1.02666666667,0.439166666667,-0.493333333333,0.918333333333
2010-01-01 00:10:00,1.0,1.56583333333,0.8975,-0.316666666667,0.8025
2010-01-01 00:11:00,1.0,1.1525,1.425,-0.384166666667,0.985
2010-01-01 00:12:00,1.0,1.49166666667,1.00416666667,-0.155,0.474166666667
2011-01-01 00:01:00,1.0,1.9375,0.785,-0.149166666667,0.893333333333
2011-01-01 00:02:00,1.0,1.945,0.804166666667,-0.233333333333,0.765
2011-01-01 00:03:00,1.0,1.45666666667,0.871666666667,-0.4975,0.754166666667
2011-01-01 00:04:00,1.0,1.53166666667,0.418333333333,-0.936666666667,0.4925
2011-01-01 00:05:00,1.0,2.08333333333,0.3675,-0.92,0.459166666667
2011-01-01 00:06:00,1.0,2.40083333333,0.590833333333,-0.585833333333,0.853333333333
2011-01-01 00:07:00,1.0,1.62666666667,0.465,-0.6875,0.694166666667
2011-01-01 00:08:00,1.0,1.525,0.438333333333,-0.693333333333,0.681666666667
2011-01-01 00:09:00,1.0,0.0975,-0.195833333333,-0.53,0.353333333333
2011-01-01 00:10:00,1.0,0.72,0.0541666666667,-0.424166666667,0.128333333333
2011-01-01 00:11:00,1.0,0.646666666667,-0.269166666667,-0.390833333333,0.250833333333
2011-01-01 00:12:00,1.0,0.14,-0.385,-0.549166666667,0.6725
2012-01-01 00:01:00,1.0,0.395,0.00916666666667,-0.784166666667,0.0375
2012-01-01 00:02:00,1.0,0.4725,-0.265833333333,-0.9275,-0.158333333333
2012-01-01 00:03:00,1.0,0.694166666667,-0.5125,-0.835833333333,-0.33
2012-01-01 00:04:00,1.0,0.381666666667,-0.533333333333,-0.673333333333,-0.0158333333333
2012-01-01 00:05:00,1.0,-0.0283333333333,-0.4925,-0.49,0.586666666667
2012-01-01 00:06:00,1.0,0.441666666667,-0.4175,-0.423333333333,0.346666666667
2012-01-01 00:07:00,1.0,0.704166666667,-0.530833333333,-0.324166666667,0.599166666667
2012-01-01 00:08:00,1.0,1.41583333333,-0.1975,-0.1425,0.420833333333
2012-01-01 00:09:00,1.0,2.27583333333,0.185,0.0691666666667,0.55
2012-01-01 00:10:00,1.0,1.18333333333,-0.191666666667,0.495833333333,0.680833333333
2012-01-01 00:11:00,1.0,1.27166666667,-0.129166666667,0.4175,0.378333333333
2012-01-01 00:12:00,1.0,1.30833333333,0.06,0.558333333333,-0.0208333333333
2013-01-01 00:01:00,1.0,1.35166666667,-0.0883333333333,0.848333333333,0.4825
2013-01-01 00:02:00,1.0,1.09083333333,0.0108333333333,0.870833333333,0.62
2013-01-01 00:03:00,1.0,1.1675,0.110833333333,0.87,0.658333333333
2013-01-01 00:04:00,1.0,1.36833333333,-0.0275,0.915833333333,0.361666666667
2013-01-01 00:05:00,1.0,2.1175,0.178333333333,1.02,-0.351666666667
2013-01-01 00:06:00,1.0,1.69333333333,0.206666666667,0.941666666667,-0.205
2013-01-01 00:07:00,1.0,2.09833333333,0.585833333333,1.0,-0.313333333333
2013-01-01 00:08:00,1.0,1.66,0.5325,0.743333333333,-0.105833333333
2013-01-01 00:09:00,1.0,1.74666666667,0.701666666667,0.4825,0.228333333333
2013-01-01 00:10:00,1.0,2.24166666667,0.6375,0.249166666667,0.23
2013-01-01 00:11:00,1.0,2.43666666667,0.725833333333,0.310833333333,0.238333333333
2013-01-01 00:12:00,1.0,2.5725,0.53,0.0225,0.486666666667
2014-01-01 00:01:00,1.0,1.83166666667,0.529166666667,-0.245833333333,0.783333333333
2014-01-01 00:02:00,1.0,2.11166666667,0.571666666667,-0.31,0.843333333333
2014-01-01 00:03:00,1.0,1.81166666667,0.394166666667,0.0791666666667,0.41
2014-01-01 00:04:00,1.0,1.66583333333,0.236666666667,0.185,0.0616666666667
2014-01-01 00:05:00,1.0,1.60416666667,-0.105,0.0425,0.306666666667
2014-01-01 00:06:00,1.0,1.92166666667,0.0375,0.0258333333333,0.3125
2014-01-01 00:07:00,1.0,1.28083333333,-0.46,-0.03,0.144166666667
2014-01-01 00:08:00,1.0,1.85916666667,-0.4325,0.113333333333,0.204166666667
2014-01-01 00:09:00,1.0,1.38083333333,-0.975833333333,0.104166666667,-0.00333333333333
2014-01-01 00:10:00,1.0,1.2425,-0.529166666667,-0.16,-0.00916666666667
2014-01-01 00:11:00,1.0,1.195,-0.840833333333,-0.409166666667,0.0383333333333
2014-01-01 00:12:00,1.0,0.955833333333,-0.566666666667,-0.2625,0.12
2015-01-01 00:01:00,1.0,0.973333333333,-0.689166666667,-0.360833333333,0.295833333333
2015-01-01 00:02:00,1.0,1.09666666667,-0.673333333333,-0.5,-0.118333333333
2015-01-01 00:03:00,1.0,0.9675,-0.315,-0.944166666667,0.404166666667
2015-01-01 00:04:00,1.0,1.0325,-0.213333333333,-0.901666666667,0.111666666667
2015-01-01 00:05:00,1.0,0.974166666667,0.01,-1.02833333333,0.52
2015-01-01 00:06:00,1.0,0.629166666667,-0.00333333333333,-1.065,0.715833333333
2015-01-01 00:07:00,1.0,0.9275,-0.0316666666667,-1.4425,1.59083333333
2015-01-01 00:08:00,1.0,0.0716666666667,-0.025,-1.13916666667,1.34666666667
2015-01-01 00:09:00,1.0,-0.02,0.0575,-0.938333333333,1.74416666667
2015-01-01 00:10:00,1.0,0.415833333333,-0.429166666667,-0.814166666667,1.41166666667
2015-01-01 00:11:00,1.0,0.25,0.0391666666667,-0.635833333333,1.52916666667
2015-01-01 00:12:00,1.0,0.0741666666667,-0.448333333333,-0.938333333333,1.72416666667
2016-01-01 00:01:00,1.0,-0.1475,-0.669166666667,-0.4225,1.52583333333
